Date,TimeOpen,TimeClose,Direction,EntryPrice,StopLoss,TakeProfit,ResultPoints,ResultR,MAE_Points,MFE_Points,SMA200_Trend,Breakout_Volume,Duration_Minutes,Spread_Entry,OpeningRangeSize,ATR,YesterdayRange,DistanceBreakout,DayOfWeek,Month
2024.01.02,09:38,15:49,SHORT,16996.26,17096.26,16696.26,30001.0,3.00,219.0,29958.0,BELOW,233,371,68,3004.0,3.41,17.48,150.00,Tuesday,January
2024.01.03,09:44,20:30,SHORT,16658.06,16758.06,16358.06,9929.0,0.99,1363.0,12202.0,BELOW,324,646,68,2781.0,5.69,415.75,195.00,Wednesday,January
2024.01.04,11:40,20:30,SHORT,16548.56,16648.56,16248.56,6302.0,0.63,2986.0,9787.0,BELOW,227,530,68,3103.0,4.43,206.93,-29.00,Thursday,January
2024.01.05,10:26,14:34,SHORT,16383.02,16483.02,16083.02,-10011.0,-1.00,8396.0,4633.0,BELOW,267,248,65,2977.0,4.88,151.12,724.00,Friday,January
2024.01.10,09:34,15:05,LONG,16764.00,16664.00,17064.00,-10008.0,-1.00,9380.0,0.0,ABOVE,132,331,100,4730.0,5.63,209.70,500.00,Wednesday,January
2024.01.11,09:32,20:30,SHORT,16865.60,16965.60,16565.60,5500.0,0.55,2850.0,24350.0,ABOVE,239,658,100,2980.0,6.14,180.60,900.00,Thursday,January
2024.01.15,11:22,23:05,SHORT,16822.10,16922.10,16522.10,-1010.0,-0.10,3100.0,880.0,ABOVE,139,703,100,2990.0,4.58,18.70,470.00,Monday,January
2024.01.16,10:20,14:31,SHORT,16712.10,16812.10,16412.10,-10003.0,-1.00,8970.0,880.0,ABOVE,228,251,100,2480.0,5.64,86.00,320.00,Tuesday,January
2024.01.18,09:32,20:30,LONG,16801.70,16701.70,17101.70,18720.0,1.87,1030.0,18960.0,ABOVE,160,658,100,3130.0,6.09,291.40,140.00,Thursday,January
2024.01.23,09:46,20:30,LONG,17359.30,17259.30,17659.30,4240.0,0.42,3900.0,5600.0,ABOVE,186,644,100,3120.0,5.04,150.30,180.00,Tuesday,January
2024.01.25,10:08,13:55,SHORT,17511.90,17611.90,17211.90,-10000.0,-1.00,9100.0,300.0,ABOVE,229,227,100,2470.0,5.02,223.30,100.00,Thursday,January
2024.01.30,09:38,20:30,SHORT,17596.30,17696.30,17296.30,9060.0,0.91,2140.0,13510.0,ABOVE,135,652,100,2940.0,4.79,251.80,160.00,Tuesday,January
2024.01.31,09:36,19:42,SHORT,17261.40,17361.40,16961.40,-10003.0,-1.00,9440.0,6740.0,BELOW,346,606,100,9360.0,10.59,300.60,250.00,Wednesday,January
2024.02.01,11:04,20:30,LONG,17267.20,17167.20,17567.20,8150.0,0.82,8650.0,9220.0,BELOW,158,566,100,3080.0,4.00,261.40,150.00,Thursday,February
2024.02.02,09:42,16:48,SHORT,17517.50,17617.50,17217.50,-10004.0,-1.00,9520.0,11700.0,ABOVE,158,426,100,2680.0,5.59,381.20,290.00,Friday,February
2024.02.05,09:52,20:30,SHORT,17599.40,17699.40,17299.40,-3700.0,-0.37,6480.0,11530.0,ABOVE,237,638,100,3300.0,5.51,21.00,1020.00,Monday,February
2024.02.06,09:48,20:30,SHORT,17657.30,17757.30,17357.30,9770.0,0.98,2530.0,16740.0,ABOVE,177,642,100,2020.0,5.11,189.90,260.00,Tuesday,February
2024.02.07,09:54,20:30,LONG,17601.50,17501.50,17901.50,17970.0,1.80,2150.0,18910.0,ABOVE,84,636,100,2580.0,4.34,206.70,170.00,Wednesday,February
2024.02.13,09:34,19:53,SHORT,17819.40,17919.40,17519.40,30001.0,3.00,130.0,28250.0,ABOVE,274,619,100,2280.0,6.79,209.60,50.00,Tuesday,February
2024.02.14,09:38,20:30,LONG,17712.10,17612.10,18012.10,6180.0,0.62,7790.0,6680.0,ABOVE,184,652,100,2580.0,5.05,416.80,240.00,Wednesday,February
2024.02.15,09:48,20:30,SHORT,17818.68,17918.68,17518.68,-1145.0,-0.11,4550.0,9376.0,ABOVE,190,642,100,3063.0,5.12,217.40,562.00,Thursday,February
2024.02.16,10:10,13:33,LONG,17953.75,17853.75,18253.75,-10006.0,-1.00,7726.0,517.0,ABOVE,112,203,100,2457.0,3.82,182.95,133.00,Friday,February
