"Date","TimeOpen","TimeClose","Direction","EntryPrice","StopLoss","TakeProfit","ResultPoints","ResultR","MAE_Points","MFE_Points","SMA200_Trend","Breakout_Volume","Duration_Minutes","Spread_Entry","OpeningRangeSize","ATR","YesterdayRange","DistanceBreakout","DayOfWeek","Month","Strategy"
"2025.01.02","11:42","14:33","LONG","21202.03","21102.03","21502.03","-10000.0","-1.00","5850.0","7700.0","BELOW","235","171","100","5587.0","7.71","75.50","113.00","Thursday","January","Rango10_Cont"
"2025.01.02","16:36","17:30","SHORT","21110.50","21170.50","20930.50","18002.0","3.00","4445.0","15482.0","BELOW","2644","54","100","7425.0","29.40","75.50","-8320.00","Thursday","January","NY_Reversion"
"2025.01.03","11:08","14:31","SHORT","21031.90","21131.90","20731.90","-10000.0","-1.00","7188.0","1262.0","BELOW","230","203","100","5912.0","7.03","494.43","388.00","Friday","January","Rango10_Cont"
"2025.01.03","16:34","18:30","SHORT","21246.37","21306.37","21066.37","-6002.0","-1.00","5846.0","0.0","BELOW","2236","116","100","7285.0","19.09","494.43","-8984.00","Friday","January","NY_Reversion"
"2025.01.07","09:46","15:39","SHORT","21556.60","21656.60","21256.60","30005.0","3.00","5130.0","24281.0","ABOVE","299","353","100","2762.0","7.25","418.55","217.00","Tuesday","January","Rango10_Cont"
"2025.01.07","16:52","17:46","LONG","21279.42","21219.42","21459.42","-6006.0","-1.00","4903.0","143.0","BELOW","3477","54","100","7396.0","32.46","418.55","-11015.00","Tuesday","January","NY_Reversion"
"2025.01.08","10:02","11:31","LONG","21251.96","21151.96","21551.96","-10018.0","-1.00","5256.0","991.0","BELOW","295","89","100","2721.0","6.69","520.52","321.00","Wednesday","January","Rango10_Cont"
"2025.01.08","16:38","17:28","SHORT","21207.97","21267.97","21027.97","18005.0","3.00","1209.0","16712.0","BELOW","2358","50","100","5252.0","20.27","520.52","-7568.00","Wednesday","January","NY_Reversion"
"2025.01.09","09:38","23:00","LONG","21125.45","21025.45","21425.45","520.0","0.05","3042.0","2845.0","BELOW","341","802","100","2354.0","8.58","277.70","318.00","Thursday","January","Rango10_Cont"
"2025.01.10","16:38","18:23","LONG","20742.38","20682.38","20922.38","18001.0","3.00","923.0","16618.0","BELOW","2969","105","100","4979.0","25.89","127.73","-6973.00","Friday","January","NY_Reversion"
"2025.01.14","16:42","17:35","LONG","20704.63","20644.63","20884.63","-6004.0","-1.00","5043.0","680.0","BELOW","3254","53","100","6531.0","24.97","391.90","-9151.00","Tuesday","January","NY_Reversion"
"2025.01.15","09:38","13:33","LONG","20790.62","20690.62","21090.62","30008.0","3.00","1479.0","24137.0","BELOW","147","235","100","2247.0","5.56","359.12","350.00","Wednesday","January","Rango10_Cont"
"2025.01.15","16:32","07:10","LONG","21129.24","21069.24","21309.24","18016.0","3.00","4410.0","16896.0","ABOVE","3391","878","100","4634.0","23.35","359.12","-7122.00","Wednesday","January","NY_Reversion"
"2025.01.16","09:32","20:30","SHORT","21312.53","21412.53","21012.53","13947.0","1.39","3595.0","19697.0","ABOVE","439","658","100","5687.0","11.01","535.97","1077.00","Thursday","January","Rango10_Cont"
"2025.01.16","16:36","18:36","LONG","21215.50","21155.50","21395.50","-6006.0","-1.00","4555.0","4742.0","ABOVE","3393","120","100","6535.0","24.98","535.97","-7913.00","Thursday","January","NY_Reversion"
"2025.01.17","11:32","14:28","LONG","21210.40","21110.40","21510.40","30000.0","3.00","5137.0","29638.0","ABOVE","256","176","100","4775.0","5.74","384.41","287.00","Friday","January","Rango10_Cont"
"2025.01.17","17:02","14:40","LONG","21422.16","21362.16","21602.16","18003.0","3.00","4663.0","17587.0","ABOVE","2523","4178","100","5729.0","13.61","384.41","-6076.00","Friday","January","NY_Reversion"
