Strategy,Magic,Date,TimeOpen,TimeClose,Direction,EntryPrice,StopLoss,TakeProfit,ResultPoints,ResultR,MAE_Points,MFE_Points,SMA200_Trend,Breakout_Volume,Duration_Minutes,Spread_Entry,OpeningRangeSize,ATR,YesterdayRange,DistanceBreakout,Dist_VWAP,Dist_London_H,Dist_London_L,Dist_Yesterday_H,Dist_Yesterday_L,Consec_Candles,DayOfWeek,Month
ny-reversion-fridays-pro-v3,12348,2025.01.03,16:34,18:30,SHORT,21246.37,21306.37,21066.37,-6002.0,-1.00,5999.0,776.0,BELOW,2236,116,100,7285.0,19.09,494.43,-8984.00,11673.9,-845.0,28347.0,-3978.0,45465.0,1,Friday,January
ny-reversion-fridays-pro-v3,12348,2025.01.10,16:38,18:23,LONG,20742.38,20682.38,20922.38,18001.0,3.00,1744.0,17992.0,BELOW,2969,105,100,4979.0,25.89,127.73,-6973.00,-17706.1,-45990.0,3221.0,-42376.0,-29603.0,3,Friday,January
ny-reversion-fridays-pro-v3,12348,2025.01.17,17:02,23:00,LONG,21422.16,21362.16,21602.16,1249.0,0.21,687.0,9274.0,ABOVE,2523,3238,100,5729.0,13.61,384.41,-6076.00,7600.0,-10774.0,26413.0,2328.0,40769.0,3,Friday,January
ny-reversion-fridays-pro-v3,12348,2025.01.24,16:38,23:00,SHORT,21884.24,21944.24,21704.24,25146.0,4.19,1563.0,17657.0,ABOVE,1406,3262,100,2982.0,8.53,197.49,-3509.00,551.8,-5941.0,15942.0,-2090.0,17659.0,1,Friday,January
ny-reversion-fridays-pro-v3,12348,2025.01.31,16:40,18:20,LONG,21781.49,21721.49,21961.49,-6001.0,-1.00,5993.0,4261.0,ABOVE,2332,100,100,4638.0,15.46,323.61,-5633.00,5420.2,-6829.0,47957.0,15596.0,47957.0,1,Friday,January
ny-reversion-fridays-pro-v3,12348,2025.02.07,16:48,17:05,LONG,21553.94,21493.94,21733.94,-6005.0,-1.00,5998.0,2642.0,ABOVE,3742,17,100,10623.0,27.55,176.60,-10915.00,-13757.4,-31671.0,3059.0,-22368.0,-4708.0,3,Friday,February
ny-reversion-fridays-pro-v3,12348,2025.02.14,17:30,23:01,LONG,22023.21,21963.21,22203.21,11919.0,1.99,995.0,11794.0,ABOVE,1334,3211,100,5366.0,10.23,370.21,-5373.00,-1975.9,-6884.0,16922.0,-1278.0,35743.0,1,Friday,February
ny-reversion-fridays-pro-v3,12348,2025.02.28,16:42,17:58,SHORT,20678.18,20738.18,20498.18,18001.0,3.00,2088.0,17996.0,BELOW,2891,76,100,8412.0,25.47,800.62,-9240.00,8594.5,-50002.0,26553.0,-65227.0,14835.0,6,Friday,February
ny-reversion-fridays-pro-v3,12348,2025.03.07,16:38,16:52,LONG,19798.80,19738.80,19978.80,-6005.0,-1.00,5998.0,1606.0,BELOW,4040,14,100,13550.0,30.44,643.94,-15935.00,-24715.9,-67873.0,361.0,-81273.0,-16879.0,3,Friday,March
ny-reversion-fridays-pro-v3,12348,2025.03.14,15:34,19:54,SHORT,19651.49,19711.49,19471.49,-6004.0,-1.00,5996.0,6334.0,BELOW,2497,260,100,6550.0,21.15,524.30,-7223.00,15775.2,-200.0,43090.0,-2179.0,50251.0,3,Friday,March
ny-reversion-fridays-pro-v3,12348,2025.03.21,15:42,16:57,LONG,19502.78,19442.78,19682.78,18005.0,3.00,2700.0,17998.0,BELOW,2527,75,100,5300.0,18.23,369.11,-5537.00,-4345.3,-38681.0,10350.0,-38681.0,-1770.0,2,Friday,March
ny-reversion-fridays-pro-v3,12348,2025.03.28,15:34,19:33,SHORT,19437.06,19497.06,19257.06,18000.0,3.00,1105.0,17994.0,BELOW,2838,239,100,6104.0,22.23,259.38,-6147.00,-16871.9,-56487.0,6582.0,-56487.0,-30549.0,5,Friday,March
ny-reversion-fridays-pro-v3,12348,2025.04.04,15:36,15:37,LONG,17778.66,17718.66,17958.66,-6001.0,-1.00,5996.0,1261.0,BELOW,5168,1,100,20865.0,72.17,574.68,-21577.00,-26448.9,-111067.0,26709.0,-122792.0,-65324.0,2,Friday,April
ny-reversion-fridays-pro-v3,12348,2025.04.11,15:38,15:39,SHORT,18343.48,18403.48,18163.48,-6001.0,-1.00,5989.0,1163.0,ABOVE,3459,1,100,10975.0,49.77,1398.96,-15222.00,-21.8,-35452.0,22632.0,-84052.0,55844.0,1,Friday,April
ny-reversion-fridays-pro-v3,12348,2025.04.25,15:44,17:14,LONG,19219.59,19159.59,19399.59,18000.0,3.00,1328.0,17999.0,ABOVE,2574,90,100,5695.0,23.16,840.88,-6670.00,-1092.6,-8104.0,37909.0,-10429.0,73659.0,1,Friday,April
ny-reversion-fridays-pro-v3,12348,2025.05.02,16:00,16:06,SHORT,20099.85,20159.85,19919.85,-6002.0,-1.00,5999.0,325.0,ABOVE,1633,6,100,5684.0,11.78,367.02,-5860.00,13751.0,-915.0,32660.0,7408.0,44110.0,2,Friday,May
ny-reversion-fridays-pro-v3,12348,2025.05.09,15:32,20:30,LONG,20029.72,19969.72,20209.72,1800.0,0.30,4517.0,7694.0,ABOVE,2847,298,100,6069.0,20.12,405.91,-6448.00,-7485.4,-19910.0,12977.0,-21919.0,18672.0,1,Friday,May
ny-reversion-fridays-pro-v3,12348,2025.05.16,15:32,17:34,SHORT,21337.05,21397.05,21157.05,-6000.0,-1.00,5995.0,1038.0,ABOVE,2148,122,100,3099.0,15.59,336.11,-3979.00,97.5,-8608.0,17105.0,-10894.0,22717.0,4,Friday,May
ny-reversion-fridays-pro-v3,12348,2025.05.23,15:32,17:09,SHORT,20907.84,20967.84,20727.84,-6001.0,-1.00,5997.0,4393.0,BELOW,2040,97,100,7795.0,20.85,297.95,-7870.00,810.9,-35151.0,23981.0,-35858.0,-6063.0,2,Friday,May
ny-reversion-fridays-pro-v3,12348,2025.05.30,15:38,16:22,LONG,21268.12,21208.12,21448.12,-6005.0,-1.00,5998.0,3373.0,BELOW,2025,44,100,5894.0,20.66,553.47,-6390.00,-2944.7,-26013.0,8912.0,-53801.0,1546.0,1,Friday,May
ny-reversion-fridays-pro-v3,12348,2025.06.06,16:56,20:30,LONG,21700.01,21640.01,21880.01,7887.0,1.31,746.0,13906.0,ABOVE,2600,214,100,10763.0,16.46,454.54,-11417.00,-3652.1,-19415.0,9063.0,-19415.0,26039.0,3,Friday,June
ny-reversion-fridays-pro-v3,12348,2025.06.13,15:44,18:34,SHORT,21796.86,21856.86,21616.86,18000.0,3.00,4298.0,17997.0,ABOVE,1543,170,100,6082.0,15.71,260.78,-6529.00,14616.5,-15780.0,23486.0,-15780.0,10298.0,4,Friday,June
ny-reversion-fridays-pro-v3,12348,2025.07.04,15:36,20:40,SHORT,22730.13,22790.13,22550.13,2550.0,0.43,612.0,3563.0,ABOVE,238,304,100,2125.0,6.24,281.50,-2163.00,-2473.1,-17075.0,10225.0,-17075.0,11075.0,1,Friday,July
ny-reversion-fridays-pro-v3,12348,2025.07.11,15:36,20:30,SHORT,22786.24,22846.24,22606.24,3111.0,0.52,5360.0,4154.0,ABOVE,1356,294,100,5688.0,16.26,188.63,-5743.00,3847.1,-6204.0,11486.0,-11279.0,7584.0,1,Friday,July
ny-reversion-fridays-pro-v3,12348,2025.07.18,15:32,20:30,SHORT,23064.63,23124.63,22884.63,213.0,0.04,2599.0,5475.0,ABOVE,1248,298,100,2162.0,10.11,272.40,-2725.00,-2304.8,-8925.0,16653.0,-5712.0,21528.0,4,Friday,July
ny-reversion-fridays-pro-v3,12348,2025.07.25,16:08,20:30,SHORT,23281.90,23341.90,23101.90,-835.0,-0.14,4954.0,2051.0,ABOVE,748,262,100,1954.0,5.73,123.62,-2303.00,3604.7,-185.0,13360.0,998.0,13360.0,1,Friday,July
ny-reversion-fridays-pro-v3,12348,2025.08.01,15:42,16:06,SHORT,22849.52,22909.52,22669.52,-6002.0,-1.00,5997.0,375.0,BELOW,2640,24,100,5675.0,20.32,595.40,-7315.00,-7715.6,-72073.0,17852.0,-85938.0,-26398.0,3,Friday,August
ny-reversion-fridays-pro-v3,12348,2025.08.08,15:32,20:30,LONG,23555.70,23495.70,23735.70,9155.0,1.53,4412.0,10330.0,ABOVE,1802,298,100,2021.0,12.14,340.03,-2445.00,5257.5,-4375.0,18351.0,-755.0,33248.0,2,Friday,August
ny-reversion-fridays-pro-v3,12348,2025.09.05,15:36,20:30,SHORT,23607.90,23667.90,23427.90,-3122.0,-0.52,5245.0,5635.0,ABOVE,3100,294,70,7885.0,26.52,310.13,-8625.00,-8431.3,-25700.0,23875.0,-7138.0,23875.0,2,Friday,September
ny-reversion-fridays-pro-v3,12348,2025.09.12,16:04,20:30,LONG,24057.45,23997.45,24237.45,3378.0,0.56,608.0,7907.0,ABOVE,1177,266,70,2597.0,7.79,183.96,-2802.00,3315.0,-3789.0,13555.0,4099.0,22495.0,3,Friday,September
ny-reversion-fridays-pro-v3,12348,2025.09.19,15:32,20:30,LONG,24473.10,24413.10,24653.10,14568.0,2.43,356.0,16405.0,ABOVE,2074,298,70,2937.0,13.28,254.15,-3238.00,-2279.6,-9605.0,12457.0,-9030.0,16385.0,1,Friday,September
ny-reversion-fridays-pro-v3,12348,2025.09.26,16:22,18:24,SHORT,24428.45,24488.45,24248.45,-6001.0,-1.00,5995.0,1242.0,BELOW,2253,122,50,8553.0,16.80,369.50,-10696.00,3264.3,-8955.0,13308.0,-12710.0,24240.0,5,Friday,September
ny-reversion-fridays-pro-v3,12348,2025.10.03,15:40,17:03,LONG,24907.44,24847.44,25087.44,-6002.0,-1.00,5999.0,3477.0,ABOVE,3649,83,50,2180.0,9.53,185.86,-2180.00,-1325.4,-7541.0,13193.0,-5393.0,13193.0,2,Friday,October
ny-reversion-fridays-pro-v3,12348,2025.10.10,15:32,15:32,LONG,24589.31,24529.31,24769.31,-6003.0,-1.00,5993.0,954.0,BELOW,7131,0,50,27903.0,71.98,219.22,-30195.00,-49353.9,-60503.0,5018.0,-58868.0,-36946.0,2,Friday,October
ny-reversion-fridays-pro-v3,12348,2025.10.17,15:36,16:00,LONG,24526.27,24466.27,24706.27,18002.0,3.00,2209.0,17999.0,BELOW,5835,24,50,9049.0,34.60,535.95,-9450.00,543.6,-47498.0,21460.0,-47498.0,6097.0,4,Friday,October
ny-reversion-fridays-pro-v3,12348,2025.10.24,16:52,20:30,SHORT,25400.17,25460.17,25220.17,3815.0,0.64,1134.0,5866.0,ABOVE,403,218,1,4770.0,10.08,370.36,-5177.00,12316.3,77.0,43617.0,24832.0,61868.0,4,Friday,October
ny-reversion-fridays-pro-v3,12348,2025.10.31,15:38,16:00,LONG,25958.02,25898.02,26138.02,-6016.0,-1.00,5975.0,4900.0,ABOVE,427,22,1,5073.0,15.34,544.53,-8199.00,-7784.5,-17226.0,15853.0,-29702.0,24751.0,3,Friday,October
ny-reversion-fridays-pro-v3,12348,2025.11.07,16:42,18:39,LONG,24638.63,24578.63,24818.63,18016.0,3.00,5102.0,17974.0,BELOW,452,117,1,7199.0,23.71,622.61,-8312.00,-41419.5,-90863.0,389.0,-105824.0,-43563.0,3,Friday,November
ny-reversion-fridays-pro-v3,12348,2025.11.14,17:12,18:41,SHORT,25188.62,25248.62,25008.62,18017.0,3.00,0.0,17995.0,BELOW,454,89,1,15089.0,21.94,718.04,-17424.00,30661.9,-19712.0,66349.0,-42252.0,29552.0,2,Friday,November
ny-reversion-fridays-pro-v3,12348,2025.11.21,16:34,16:48,SHORT,24104.24,24164.24,23924.24,-6018.0,-1.00,5966.0,2548.0,BELOW,545,14,1,18463.0,46.50,1286.25,-19412.00,4651.0,-111976.0,28100.0,-111976.0,16649.0,1,Friday,November
ny-reversion-fridays-pro-v3,12348,2025.11.28,17:08,18:03,SHORT,25369.50,25429.50,25189.50,-6011.0,-1.00,5986.0,4124.0,ABOVE,357,55,1,6751.0,12.67,52.51,-6725.00,4865.5,-27.0,14826.0,9575.0,14826.0,1,Friday,November
ny-reversion-fridays-pro-v3,12348,2025.12.05,16:32,23:01,LONG,25612.40,25552.40,25792.40,9486.0,1.58,940.0,10048.0,ABOVE,497,3269,1,5700.0,26.30,243.02,-7985.00,-5896.1,-20685.0,15663.0,-6937.0,17365.0,3,Friday,December
ny-reversion-fridays-pro-v3,12348,2025.12.12,17:06,17:18,SHORT,25199.62,25259.62,25019.62,-6008.0,-1.00,5988.0,0.0,BELOW,481,12,1,9348.0,29.98,477.36,-9136.00,-30648.7,-40662.0,10738.0,-63150.0,-15414.0,5,Friday,December
ny-reversion-fridays-pro-v3,12348,2025.12.19,16:32,23:01,SHORT,25304.13,25364.13,25124.13,-10787.0,-1.80,4815.0,5436.0,ABOVE,391,3269,1,2801.0,16.42,509.00,-3189.00,18633.4,-5013.0,38199.0,13338.0,64238.0,4,Friday,December
ny-reversion-fridays-pro-v3,12348,2025.12.26,16:42,23:01,SHORT,25657.77,25717.77,25477.77,224.0,0.04,1051.0,3851.0,ABOVE,258,3259,1,2798.0,8.40,30.74,-3051.00,262.4,-4685.0,10440.0,-972.0,2102.0,1,Friday,December
ny-reversion-fridays-pro-v3,12348,2026.01.02,16:52,23:01,LONG,25116.38,25056.38,25296.38,12699.0,2.12,5614.0,13512.0,BELOW,475,3249,1,7748.0,25.64,53.01,-8486.00,-28113.8,-47775.0,2651.0,-18188.0,-12887.0,2,Friday,January
ny-reversion-fridays-pro-v3,12348,2026.01.23,16:32,17:46,LONG,25632.74,25572.74,25812.74,-6027.0,-1.00,5975.0,4888.0,ABOVE,425,74,1,4949.0,14.13,256.16,-5051.00,12013.8,-6676.0,25048.0,4798.0,30414.0,3,Friday,January
