Strategy,Magic,Date,TimeOpen,TimeClose,Direction,EntryPrice,StopLoss,TakeProfit,ResultPoints,ResultR,MAE_Points,MFE_Points,SMA200_Trend,Breakout_Volume,Duration_Minutes,Spread_Entry,OpeningRangeSize,ATR,YesterdayRange,DistanceBreakout,Dist_VWAP,Dist_London_H,Dist_London_L,Dist_Yesterday_H,Dist_Yesterday_L,Consec_Candles,DayOfWeek,Month
ny-reversion-pro-v3,12347,2025.01.02,16:36,17:08,SHORT,21110.50,21200.50,21083.50,2703.0,0.30,4532.0,2698.0,BELOW,2644,32,100,7425.0,29.40,75.50,-8320.00,-483.0,-17565.0,14760.0,-115.0,7435.0,2,Thursday,January
ny-reversion-pro-v3,12347,2025.01.03,16:34,19:10,SHORT,21246.37,21336.37,21219.37,-9002.0,-1.00,8997.0,776.0,BELOW,2236,156,100,7285.0,19.09,494.43,-8984.00,11673.9,-845.0,28347.0,-3978.0,45465.0,1,Friday,January
ny-reversion-pro-v3,12347,2025.01.07,16:52,18:14,LONG,21279.42,21189.42,21306.42,2701.0,0.30,7260.0,2699.0,BELOW,3477,82,100,7396.0,32.46,418.55,-11015.00,-15632.9,-42353.0,6342.0,-42353.0,-498.0,2,Tuesday,January
ny-reversion-pro-v3,12347,2025.01.08,16:38,17:02,SHORT,21207.97,21297.97,21180.97,2703.0,0.30,2319.0,2696.0,BELOW,2358,24,100,5252.0,20.27,520.52,-7568.00,5136.1,-40107.0,16935.0,-41063.0,10989.0,4,Wednesday,January
ny-reversion-pro-v3,12347,2025.01.10,16:38,16:41,LONG,20742.38,20652.38,20769.38,2701.0,0.30,1744.0,2698.0,BELOW,2969,3,100,4979.0,25.89,127.73,-6973.00,-17706.1,-45990.0,3221.0,-42376.0,-29603.0,3,Friday,January
ny-reversion-pro-v3,12347,2025.01.14,16:42,18:07,LONG,20704.63,20614.63,20731.63,2700.0,0.30,6942.0,2696.0,BELOW,3254,85,100,6531.0,24.97,391.90,-9151.00,-15032.4,-26506.0,15254.0,-21442.0,17748.0,3,Tuesday,January
ny-reversion-pro-v3,12347,2025.01.15,16:32,17:16,LONG,21129.24,21039.24,21156.24,2703.0,0.30,4887.0,2696.0,ABOVE,3391,44,100,4634.0,23.35,359.12,-7122.00,4682.0,-10824.0,46602.0,15432.0,51344.0,2,Wednesday,January
ny-reversion-pro-v3,12347,2025.01.16,16:36,16:58,LONG,21215.50,21125.50,21242.50,2700.0,0.30,5478.0,2694.0,ABOVE,3393,22,100,6535.0,24.98,535.97,-7913.00,-4727.4,-13620.0,13513.0,-6816.0,46781.0,2,Thursday,January
ny-reversion-pro-v3,12347,2025.01.17,17:02,17:13,LONG,21422.16,21332.16,21449.16,2701.0,0.30,687.0,2696.0,ABOVE,2523,11,100,5729.0,13.61,384.41,-6076.00,7600.0,-10774.0,26413.0,2328.0,40769.0,3,Friday,January
ny-reversion-pro-v3,12347,2025.01.20,16:32,16:59,SHORT,21565.03,21655.03,21538.03,2704.0,0.30,1462.0,2690.0,ABOVE,841,27,100,2475.0,11.12,90.50,-2713.00,6646.9,-6175.0,23630.0,10363.0,19413.0,1,Monday,January
